text,true_label_id,pred_label_id,true_emotion,pred_emotion
sound quality khub e valo but onoff button ta aktu kharap ase product er,1,0,Love,Happy
its pretty good sound is also nice there was a little scratch though the packaging could have been better,0,0,Happy,Happy
came as described working and well packaged approved,0,0,Happy,Happy
i am fully satisfied to get this productthanks daraz and seller,0,0,Happy,Happy
giving correct time qualuty satisfied in comparison to price,1,0,Love,Happy
it was really good thanks,0,0,Happy,Happy
book ta onk puraton mone hocce cover ta onk puraton ar onk jaiga atha lege chilobut page and font clear,2,0,Sadness,Happy
very good product at this price range and after sales service is incredible too highly recommended,1,1,Love,Love
good product recommended,0,0,Happy,Happy
to be honest i was kinda confused to see the price of this router i thought they are gonna provide me a fake one but they gave me the genuine one at lowest price thanks pickaboo team,0,0,Happy,Happy
working well,0,0,Happy,Happy
satisfied with product quality and delivery product is functioning properly thanks to mother electronics and daraz,0,0,Happy,Happy
alhamdulillah working fine no problems so far,0,0,Happy,Happy
the latter size is too bigfor this reason they are using too much page,2,2,Sadness,Sadness
wonderful got in time and quality is enough in this price,1,1,Love,Love
everything is alright packaging o perfect cilo,1,0,Love,Happy
this is not new potatoes,2,2,Sadness,Sadness
very good effective product for children,0,1,Happy,Love
the product is good value for money product recommended to buy,1,0,Love,Happy
the small pc of cloth which is placed top of the ventilation portion is missing please send it to my address,2,2,Sadness,Sadness
i buyed product first time in pickaboo their customers service was brilliant delivery was too first product quality satisfied i am very happy thanks to pickaboo teams,0,0,Happy,Happy
excellent service from pickaboo got the authentic product from esquire recommended,0,1,Happy,Love
very good product,1,1,Love,Love
product quality expected result as it suppose to be saller behavior is satisfying,1,0,Love,Happy
very good,1,1,Love,Love
thanks daraz for the item it came out perfect and the colour i wanted,0,0,Happy,Happy
i just loved itrecommended i got it with in days,0,1,Happy,Love
products is good,0,0,Happy,Happy
all ok but already i used a bdcom epon onu that was not warm like it but its finerun perfectly,0,0,Happy,Happy
the quality of the paper and gum is below average the book is quite good without this problem,0,0,Happy,Happy
good product,0,0,Happy,Happy
one of the best puchases from daraz,1,1,Love,Love
service was top notch got my product fully fresh thank u,1,0,Love,Happy
mobile ta din age order kori ajke hat e pelam mobile tar sob kichu thik ase sound loud kotha bolle pison dik diye jay na kotha bole aram ase charge ak din jay mobile tar jeta boro problem seta hocce er display display ta ghola menu icon gulao ghola mane resulation khub kom pic gula fata fata dekha jay symphony theke ata asa kora jay na seller er response valo na msg er reply dey na delivery man er service valo chilo thanks daraz,2,2,Sadness,Sadness
this product is good and seller is very good parson,1,0,Love,Happy
very good product indeed satisfied recommended will purchase more in near future thanks seller,0,1,Happy,Love
not that good medium product quality,2,2,Sadness,Sadness
build quality is not goodi wasted my money,2,2,Sadness,Sadness
its very useful,0,0,Happy,Happy
good as expected,0,0,Happy,Happy
alhamdulillaheverything is jemonta order korechilam colour size everything ok chilo product er man price er tulonay besh valo thanks seller,0,0,Happy,Happy
im price and product doesnt match premium quality stuff stars,1,0,Love,Happy
absolutely loved it its just the one i wanted its the cheapest price price anyone can get and amazing quality thank you seller,0,1,Happy,Love
good products,0,0,Happy,Happy
bought it for my mother so far so good,1,0,Love,Happy
used it very good product,0,1,Happy,Love
original product thanks tolsen,0,1,Happy,Love
not so good not satisfied,4,2,Anger,Sadness
good product in this price,0,0,Happy,Happy
good product,0,0,Happy,Happy
just wow price average good quality,1,1,Love,Love
perfect combinationstudio x er bepar e temon kichu boler naioutstanding quality,1,0,Love,Happy
same as pictures good product,0,1,Happy,Love
thank you seller the headphones themselves are soso there are no bottoms,0,0,Happy,Happy
packaging valo chilo r expire date to onk poresob thik ache chilo,0,0,Happy,Happy
thanks a lot darazthis is so cute,0,0,Happy,Happy
good product thanks seller daraz,0,0,Happy,Happy
good capacity and design,0,0,Happy,Happy
good product stylish,1,0,Love,Happy
quality product and timely delivery,0,0,Happy,Happy
good product but not so tight,0,2,Happy,Sadness
good product recommended,0,0,Happy,Happy
alhamdulillah product onik valo selar viya check kore dicaonik valo product,0,0,Happy,Happy
very good product iam satisfied thanks seller,1,1,Love,Love
got the delivery within hours and have received the installation service on the day of delivery so far happy with the service lets see how the ac performs thanks,0,0,Happy,Happy
great product good packaging got one year warranty by sms recommended,0,0,Happy,Happy
onek bhalo akta product alhamdulillah fully satisfied same as picture,1,1,Love,Love
onek valo pruduct and delivery man is good,1,1,Love,Love
genuine product in reasonable price thanks seller and daraz,0,0,Happy,Happy
this is very small good for person,0,2,Happy,Sadness
quality seems good price was reasonable delivery was fast,0,0,Happy,Happy
good nice product,0,0,Happy,Happy
alhamdulillah onek valo chilo android tv box ta thank you so much delivery man and daraz,1,0,Love,Happy
good productdelivered on time recommend to purchase,0,0,Happy,Happy
too much slow not recommended,2,2,Sadness,Sadness
i have ordered and paid the amount but they gave me only is this a flagship store,4,2,Anger,Sadness
received with satisfaction got it delivered so fast thanks to the seller i appreciate your service,1,0,Love,Happy
this is original jbl product this was a gift for my brother he liked a lot i genuinely happy with their product i bought it in discount price but no disgrace of its quality thanks pickaboo,0,0,Happy,Happy
good product satisfied,0,1,Happy,Love
valo chilo but price onujayi kapoor er man r k better hole valo hoto over all perfect,0,0,Happy,Happy
its good,1,0,Love,Happy
thank you shomoemoto delivery peyechhi,0,0,Happy,Happy
silicon made soft elastic full body thanks seller for give me exact color of my choice,0,0,Happy,Happy
products condition very good when it run just a little bit sound its not a problem pickaboo make the emi with my bank its a big opportunity for purchase the valuable product i had pay for this emi more overall i am satisfice to pickaboo,0,0,Happy,Happy
undoubtedly excellent mouse love it but take long time to delivery days,1,1,Love,Love
light was satisfactory bought for a korean guy he liked the light a lot,0,0,Happy,Happy
intact and authentic product,1,1,Love,Love
thanks onek khusi holam sathe ekta colgate free peyechi,0,0,Happy,Happy
excellent very good products,1,1,Love,Love
seems original and good packaging indeed,0,0,Happy,Happy
very nice looking good product thanks sailor,1,1,Love,Love
good product,0,0,Happy,Happy
bought pieces from them one for my friend also theyre the most comfiest and everyday wear now,0,0,Happy,Happy
i would have given it a star if i could but there wasnt any option for it first of all its the same as the picture but some flip cards and the main had some scratchesdents its not much of an issueother than that its worth the money,0,2,Happy,Sadness
good product,0,0,Happy,Happy
not badhelpful,0,1,Happy,Love
though product receiving was little tough but product is good enough satisfiedpicture quality is goodwall mount is very hard,0,0,Happy,Happy
very good product,1,1,Love,Love
xiaomi brand at very low price very short delivery just two days emi facility is very good made it very easy thank you pickaboo i bought the product from you after a long time expressing satisfaction with the service,1,0,Love,Happy
very good for cables,1,1,Love,Love
product ta joto ta chobite valo dekhai oirokom dekhte na code er product order diye chilam temon ekta valo na tobe ache motamuti cholar moton,0,0,Happy,Happy
bought it and got warranty card,1,0,Love,Happy
price ta beshi mone hoyese quality is ok after all i am happy,0,0,Happy,Happy
the fit is spoton,0,0,Happy,Happy
amar phone holder tripod ar shathe lagche naapnera amake akti khara jinis diyachanakhon ami refund chai,4,2,Anger,Sadness
pant vlo jamon caici tamon colour paici but kapor ta akto basi patlasamner pokect gula r ooo akto boro hole r ooo vlo hotor sheller kuboi vlofirst delivery,0,0,Happy,Happy
all good shopping,1,0,Love,Happy
small light it seems like wat not enough for midium size room,2,2,Sadness,Sadness
as described happy with the product,0,0,Happy,Happy
onek sundor product thanks to daraz,1,1,Love,Love
satisfied with price and services,0,1,Happy,Love
product was good but poor packaging plz focus on it,3,2,Fear,Sadness
the product is average thanks for gift,0,0,Happy,Happy
tk diye gm best product original,1,1,Love,Love
i love everything about it great quality and came on time looks just like the picture easy favorite will order again,0,0,Happy,Happy
good product im satisfied,1,1,Love,Love
recevied the product few days back after using the product i should say the great value for money perfect color and it can plays online videos tv channels very smoothly the tv has bluetooth connectivity that you can coonect bluetooth headphone and other devices i didnt find any issue yet thanks daraz thanks haier,0,0,Happy,Happy
same as picture,1,1,Love,Love
midea ac is the best choice for cheaper rate,0,1,Happy,Love
very good build quality along with a lovely packaging thats my first product from anobik and ill rely on them for my next gadget purchase lucky to have such a nice local manufacturer,1,0,Love,Happy
worth the cost,0,0,Happy,Happy
the watch is fine god knows whether it is waterproof or not did not dare to check but the quality is good i did not get a single discount as such i deserve a box right where is the box,3,0,Fear,Happy
ok but alu gula onk choto chilo,0,0,Happy,Happy
authentic but price was high,0,0,Happy,Happy
product packaging ta vlo silo expired date o yr moto silo sathe abar ta tula gift korsa seller,0,0,Happy,Happy
thanks to seller for sending me a good product,0,0,Happy,Happy
very poor quality ekebare third class jinish i asked them before purchasing and they assured me that it is a good quality product but it is not dont buy this shit,4,2,Anger,Sadness
good and well function,1,0,Love,Happy
packaging was good and delivery was also quick i tested it by running and there were slightly higher noise otherwise it is recommended,0,0,Happy,Happy
good product,1,0,Love,Happy
this product is so good thanks daraz and seller,0,0,Happy,Happy
reasonable price with original product love pickaboo,1,0,Love,Happy
excellent product i recommend and seller,1,1,Love,Love
authentic product its smell is so nice and feels so refreshing after using it delivery man was so humble recommend it,0,0,Happy,Happy
receive super fast within hours order at late night and receive in the morning radhuni product as it is no issues,0,0,Happy,Happy
i recently had the pleasure of using the lexar m gb usb pen drive and it truly exceeded my expectations in every aspect from its sleek design to its impressive performance this pen drive is undoubtedly a topnotch choice for anyone seeking a reliable storage solution pros sleek and durable metal casing blazing fast transfer speeds with usb ample gb storage capacity crossplatform compatibilities cons none observed during my usage,0,0,Happy,Happy
very good product,1,1,Love,Love
purchased pairs of this sandal very comfortable to wear easy to wash perfect for rainy season worth every penny,0,0,Happy,Happy
very bad quality,2,4,Sadness,Anger
thanks daraz i recommend everyone to buy this just love this product,1,0,Love,Happy
original product recommended ar delivery o fast peyesi thanks daraz,0,0,Happy,Happy
product quality looks good weight lifting capacity not tested yet,2,0,Sadness,Happy
overall the product was good thanks pickaboo for their faster delivery,0,0,Happy,Happy
good for the price,0,0,Happy,Happy
very nice item recommended,1,1,Love,Love
products ta onk vlo lagce orgina,0,1,Happy,Love
love the product amd packaging was too good no hamarage absolutely good deal,0,1,Happy,Love
original and price also less than local market,1,0,Love,Happy
alhamdulillah awesome watch,1,1,Love,Love
seems to me original,0,0,Happy,Happy
good sturdy product exactly as advertised d,0,0,Happy,Happy
everything good expired date er majhamajhi porjonto ache so years pacchi,0,0,Happy,Happy
alhamdulillah the product was orginal and usefull,0,0,Happy,Happy
got the parcel todayvery fast delivery and delivery man vaias behaviour was niceand the quality fabric print zipper of the bag is so good highly recommend,0,0,Happy,Happy
satisfactory,0,1,Happy,Love
its good,1,0,Love,Happy
im happy with the purchase love it,1,1,Love,Love
as advertised value for money recommended,0,0,Happy,Happy
good works with induction cooker,0,0,Happy,Happy
nice product and quick delivery,0,0,Happy,Happy
thanks for giving original and amazing products,1,1,Love,Love
disappointed to see two of them are chipped as you can see in the picture otherwise rest of them look decent even though they are very dirty i think those might wipe off but the chipped tile are easily recognisable দই ট ডমন ত চঠ কর দগ আছ য সহজই বঝ যয বক সব ট কছ টক আছ কনত অনক মযল আছ,2,2,Sadness,Sadness
this one is a good product beyond my expectation i love this product thanks to seller and daraz to provide this quality full product i am using this more than days its zipper quality is good in this budget range,0,0,Happy,Happy
its really good etota halka o na jara chacchen nite undoubtedly nite paren,0,0,Happy,Happy
nice product received in estimated time,0,0,Happy,Happy
just in love with the watch,1,1,Love,Love
its super pretty,1,1,Love,Love
excellent product amazing i am very happy thank you daraz and seller value for money,1,1,Love,Love
joss product i bought,0,1,Happy,Love
thanks for this at a good price,0,0,Happy,Happy
good product,1,0,Love,Happy
everything is ok nossel is very hard where i can see its soft,0,2,Happy,Sadness
it was excelleny,0,1,Happy,Love
resonable price and good product,0,1,Happy,Love
good deal dear daraz kindly reduce the delivery charge for ordering monthly groceries,0,0,Happy,Happy
product was good but i think its lightbar not changing speaker and vibration not working so i returned it otherwise everything is ok and the behaviour of the seller is just awesome,1,0,Love,Happy
same as picturei am so happy to get this bag,0,0,Happy,Happy
very good product i am fully satisfied with the seller,1,1,Love,Love
seems very good quality appreciate it,1,1,Love,Love
ami akta niachi valo ache khub sundor hoiche,0,1,Happy,Love
its a complete value for money product seller kept their promise,0,0,Happy,Happy
alhamdulillah product quality is good,0,0,Happy,Happy
thanks,0,0,Happy,Happy
the product was good lite weight hard in build the texture was good received the same as shown in the picture easy to use loved the product,1,0,Love,Happy
size is little bit small,2,2,Sadness,Sadness
highly recommend,0,1,Happy,Love
nice product but small size,0,0,Happy,Happy
watch ta ma sha allah onk shundoramar toh khub valo lgche kintu onk din lgche delivery dite but its oksobay kinte paren,0,0,Happy,Happy
jemon picture e dekhaise oirokom e product tanishondehe nite parenjust packaging quality ektu kharapeijonno ta star kom dicchi,0,0,Happy,Happy
reveived in excellent condition fast delivery cant wait to use it,1,0,Love,Happy
quality was good enough,0,0,Happy,Happy
thx for cheap price,1,0,Love,Happy
watch is fine but slightly bulky,1,2,Love,Sadness
nice sticker,0,0,Happy,Happy
good quality,0,0,Happy,Happy
lovely product,1,1,Love,Love
original super fresh product satisfied,0,1,Happy,Love
handybest in quality,0,1,Happy,Love
good quality,0,0,Happy,Happy
very disappointing got golden colour but ordered silver colour bracelet,2,2,Sadness,Sadness
as always never dissatisfied shopping with decathlon,0,2,Happy,Sadness
hundred persent genuine and lifetime warranty product,0,0,Happy,Happy
doesnt work reviewing after months of use it makes your bread look healthyshinny but no results on growing beard in my case,2,2,Sadness,Sadness
good product,0,0,Happy,Happy
ageo niyechilam useful product,0,0,Happy,Happy
satisfied,1,1,Love,Love
too good take a bit long time but products is same as show in pintures,0,0,Happy,Happy
this product is very good,0,1,Happy,Love
this product quality is good,1,1,Love,Love
its just good thats all,0,1,Happy,Love
product is good but it is more like a hamook not dolna,0,2,Happy,Sadness
totally a value for money product good picture quality sound quality and quick delivery overall good product and service,0,0,Happy,Happy
well packedseems originalin time deliveryhighly recommended,1,0,Love,Happy
good products and good sound quality also reasonable price,0,0,Happy,Happy
card guli valo chilo ami satisfied ta booster pack niechi but ektao energy othoba trainer card painai it was luck acually jaihok card er quality dam onupat e valo chilo,0,0,Happy,Happy
quality onek high,0,0,Happy,Happy
the product is just as expected and the price is spot on,0,0,Happy,Happy
good product sobei nity paren,1,1,Love,Love
quality not havy normally,1,2,Love,Sadness
highly recommend this,0,1,Happy,Love
awesome quality,1,1,Love,Love
good as expected thanks daraz thanks seller,1,0,Love,Happy
i really love this bag this is perfect for work lots of room and not flimsy i am very satisfied,0,0,Happy,Happy
daraz k r o beshi help full hote hobe customer der proti,0,0,Happy,Happy
i recently checked daraz while searching for washing powder not only did they have the item i was looking for but their selection was vast and the prices were competitive the website was easy to navigate and the product descriptions were informative and accurate i was pleasantly surprised by the fast shipping and the care they took in packaging my order the seller was good and delivered product was as per mentioned specification im thrilled with my purchase and will continue to shoping,0,0,Happy,Happy
nail glue breathable sticker is really good you can buy it without any hesitation thanks daraz,1,0,Love,Happy
nice phone thanks for pickaboo,0,0,Happy,Happy
the phone is original no doubt about it also configuration wise it is good,0,0,Happy,Happy
have nice same to picture watch,1,1,Love,Love
really nice,1,1,Love,Love
the anti fog film arrived today quick delivery will try to use it on the weekend hope it works as advertised,0,0,Happy,Happy
fresh product good packaging,0,0,Happy,Happy
good product,1,0,Love,Happy
great gaming controller at this price range like xbox contorller premium feels,0,1,Happy,Love
it is a really tough earphone unfortunately mine broke due to an accident but the wire is pretty strong and the sound quality was good enough for me price is a little bit higher than usual,0,2,Happy,Sadness
i used it to move some of my furnitures without any issue also used the pull bar to uplift and place the wheels under the furniture,0,0,Happy,Happy
bought for the second time recommended product,0,0,Happy,Happy
pretty good controller and all the buttons are working fine although the courier delivery man was pretty shitbasically dude didnt come to my location because he doesnt have any other delivery in my area so i had to spend twice the amount of delivery charge for rikshaw,1,0,Love,Happy
nice device in this pricegd job,0,0,Happy,Happy
alright for average practice to gain perfection you might need to buy a bag thats more durable,0,0,Happy,Happy
love this watch good size nice weight band is comfortable pretty cool,0,0,Happy,Happy
alhamdulillah price onujai quality fully stainless steel er na hoyto rough use korle colour uthe jawar somvabona ace bakita use korle buja jabedelivery late eider age delivery pawar kotha thakleo eider por delivery diyece,1,0,Love,Happy
i will not recommended anyone to buy itcause the quality was really so poorit took about a month to comei really didnt expect this,2,2,Sadness,Sadness
honestly i didnt really believe that i would get such a good original product,0,0,Happy,Happy
right product,0,0,Happy,Happy
so beautiful and so cute thank to the sellar and the daraz,0,1,Happy,Love
colour ta khub sundor r praice tulonay dolna taw valo ai first time ami order koreci vebecilam kharap hobe but sotti khub valo product peyeci i am so happy thank you daraz,0,0,Happy,Happy
they are my backup backup headphones and they work fine,0,0,Happy,Happy
u deserve star thank u soo much u all can be buy from me on daraz visit my store,0,0,Happy,Happy
received the product in days of ordering excellent service from pickaboo the tv delivers fantastic p with impressive picture quality i was a bit skeptical about overall tv color but for regular consumer use it is perfect the tv also has incredibly thin bezels which gives it a modern look,0,0,Happy,Happy
send me wrong products really unfortunate daraz should take initiative against the seller,4,4,Anger,Anger
good product for summer,0,0,Happy,Happy
onek sundorzemon chobi chilo temone peyechi,1,1,Love,Love
recommended,0,0,Happy,Happy
one thing i really love about daraz is the packaging the product was as expected and service was very gooddelivery time was also took less time overall im satisfied with the service,0,0,Happy,Happy
thanks to seller sending me same product as like pictureproduct quality pretty goodrecommend,0,0,Happy,Happy
good product,0,0,Happy,Happy
alhamdulillah jmn chaichi thik tmn tai paichi tnx daraz tnx sellar and tnx delivery man,0,0,Happy,Happy
very good product,0,1,Happy,Love
this is very good its quality is good but it is crash on the road but the taste is fine,1,0,Love,Happy
authentic product,2,1,Sadness,Love
got on time delivery excellent product quality,0,1,Happy,Love
good product,1,0,Love,Happy
product is so good,0,1,Happy,Love
quick delivery and authentic product thank you,1,0,Love,Happy
product was so good as i wanted indeed,1,0,Love,Happy
good product,0,0,Happy,Happy
product is goog,0,1,Happy,Love
good product but price tk ar moto hole valo hotoo,0,0,Happy,Happy
real products thanks daraz,1,1,Love,Love
very easy to usevery light but works heavy i recommend,0,0,Happy,Happy
the twizers were good but the size was smaller than expected but is was good,2,0,Sadness,Happy
good product,0,0,Happy,Happy
good products,0,0,Happy,Happy
i have used the product for few months and it has been very useful and convenient however the product has only one mode and not two modes as shown in the ad,0,0,Happy,Happy
received quickly,0,0,Happy,Happy
i think original global productgood packaging and delivery awesometv service till now parfect but i cant get inbox no warenty cards maybe not applicable the products in the sales condition with daraz,0,0,Happy,Happy
alhamdulillahthis is amazing product i am very satisfied seller vaia ta onk valo ciloonk druto parcel ta payaceso thank you darazapnara chaile product ta nita paren,1,0,Love,Happy
good enough st time,0,1,Happy,Love
received thanks,0,0,Happy,Happy
bought a it with battery hope not functioning,2,2,Sadness,Sadness
extremely satisfied with the overall experience the shoe is quite stylish and comfortable the size is perfect and although the estimated delivery time was days i received it within days only,0,0,Happy,Happy
good product anyone can buy thanks seller,0,0,Happy,Happy
firstly tnx pickaboo thay are always send orginal product i suggest all people buying any gadget item must choice to pickaboo,1,0,Love,Happy
besh valo comfortable and soft thank you daraz,0,0,Happy,Happy
received before the approximate delivery timeseems good so far,0,0,Happy,Happy
product quality and delivery service was good and fast,1,0,Love,Happy
recently ami ai product pickaboo theke order kori product er quality packaging onek valo silo amr kase ai product ti authentic and orginal lagse delivery somoy moto peyesi delivery man er behaviour o onek valo chilo thank you pickaboo,0,0,Happy,Happy
its a original product with warrantyfully satisfiedtnx pickaboo,0,0,Happy,Happy
this is very good product,0,1,Happy,Love
good watch even cheap love this brand,1,1,Love,Love
thank you excellent,1,1,Love,Love
very good and authentic product a perfect replacement for wd have enough expiry date,0,1,Happy,Love
good quality product thnx daraz,0,0,Happy,Happy
low quality,2,2,Sadness,Sadness
the strap is very comfortable the watchs display is clear and bright and it turns on automatically when you turn your wrist,1,0,Love,Happy
arrived right,0,0,Happy,Happy
good product the size in small but okay,0,0,Happy,Happy
the best quality,1,1,Love,Love
get authentic product delivery on time thank you pickaboo team for your great service,0,0,Happy,Happy
the product received exactly as shown satisfied with receiving the product,0,0,Happy,Happy
very good love the watch,1,1,Love,Love
happy with the look bit stylish sound quality good bit plastic body happy with the price vs product have a year warranty as well,0,0,Happy,Happy
pure one,0,1,Happy,Love
good product working well,1,0,Love,Happy
good product,0,0,Happy,Happy
jmn ta dekhechi temontai peyechivery good productagey akta niyechi again order diyeo valo pelam,0,0,Happy,Happy
very good quality mouse found properly sealed authentic product product ta j overseas product quality dekhlei bujha jay premium quality,1,0,Love,Happy
good product,0,0,Happy,Happy
